Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mitchell Robinson,2019-20,21,NYK,NBA,61,1412,7,23.5,0.0,0.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,144,107,4.8,2.0,6.8,0.23,1.6,1.3,3.0,1.8
Delon Wright,2019-20,27,DAL,NBA,65,1412,5,16.1,0.307,0.236,5.0,14.0,9.6,21.2,2.6,1.3,13.9,14.8,121,109,2.6,1.8,4.3,0.14800000000000002,0.4,2.0,2.4,1.6
Monte Morris,2019-20,24,DEN,NBA,65,1402,8,14.9,0.298,0.128,1.6,7.3,4.4,23.3,1.9,1.1,8.1,17.2,117,112,2.2,1.2,3.4,0.117,0.2,-0.1,0.1,0.8
Austin Rivers,2019-20,27,HOU,NBA,60,1402,4,10.3,0.537,0.208,1.9,8.8,5.3,9.5,1.4,0.6,6.9,14.9,112,113,1.3,1.0,2.2,0.077,-1.9,-0.4,-2.3,-0.1
Anfernee Simons,2019-20,20,POR,NBA,65,1400,4,9.3,0.417,0.175,1.9,8.9,5.4,9.4,0.9,0.6,9.7,19.0,102,118,0.1,0.2,0.3,0.01,-2.5,-1.8,-4.4,-0.8
Furkan Korkmaz,2019-20,22,PHI,NBA,64,1398,12,11.7,0.617,0.14,1.3,10.4,5.8,7.3,1.3,0.9,8.7,18.5,109,111,1.0,1.3,2.3,0.079,-0.6,-0.9,-1.5,0.2
Bobby Portis,2019-20,24,NYK,NBA,66,1393,5,14.6,0.317,0.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,107,113,0.9,1.0,1.9,0.064,0.1,-1.1,-1.0,0.3
Daniel Theis,2019-20,27,BOS,NBA,58,1382,57,18.2,0.212,0.277,10.2,19.2,14.7,9.9,1.2,5.0,10.1,14.7,130,105,3.6,2.3,5.9,0.205,0.4,1.8,2.3,1.5
Serge Ibaka,2019-20,30,TOR,NBA,50,1377,27,18.0,0.266,0.191,8.2,23.3,15.9,8.8,0.8,2.9,12.9,24.1,110,104,1.5,2.4,3.9,0.136,0.5,-0.1,0.4,0.9
Aaron Holiday,2019-20,23,IND,NBA,58,1368,26,11.7,0.409,0.145,1.7,8.9,5.3,19.5,1.6,0.8,12.4,19.4,104,111,0.4,1.4,1.7,0.06,-1.4,-0.3,-1.7,0.1
John Collins,2019-20,22,ATL,NBA,41,1363,41,23.5,0.243,0.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,124,112,3.8,1.1,4.9,0.174,3.7,-0.7,3.1,1.7
Donte DiVincenzo,2019-20,23,MIL,NBA,59,1362,22,15.0,0.489,0.173,4.6,15.7,10.5,13.3,2.7,1.2,12.9,16.9,112,100,1.4,3.1,4.5,0.158,-0.6,2.7,2.1,1.4
Cody Zeller,2019-20,27,CHO,NBA,58,1341,39,18.8,0.157,0.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,116,111,2.4,1.2,3.6,0.129,0.2,-0.8,-0.6,0.5
Joel Embiid,2019-20,25,PHI,NBA,44,1329,44,26.0,0.23,0.545,10.1,33.1,21.6,17.3,1.4,3.7,13.4,32.6,114,104,3.2,2.4,5.6,0.203,4.1,1.2,5.2,2.4
Kyle Kuzma,2019-20,24,LAL,NBA,54,1327,7,11.6,0.401,0.221,4.0,15.5,9.9,7.4,0.8,1.4,11.6,23.2,100,109,-0.2,1.6,1.4,0.052000000000000005,-2.2,-1.3,-3.5,-0.5
Christian Wood,2019-20,24,DET,NBA,62,1325,12,23.2,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,123,110,3.6,1.5,5.1,0.184,3.5,-0.3,3.1,1.7
Patrick Beverley,2019-20,31,LAC,NBA,48,1299,48,12.3,0.609,0.126,4.6,15.7,10.3,18.2,1.9,1.7,15.7,13.0,115,106,1.4,2.0,3.4,0.126,-0.5,2.6,2.1,1.3
Derrick Rose,2019-20,31,DET,NBA,50,1298,15,21.1,0.195,0.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,109,115,1.9,0.6,2.5,0.093,4.0,-1.7,2.2,1.4
