Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
E'Twaun Moore,2019-20,30,NOP,NBA,51,958,5,11.1,0.39,0.105,3.2,10.4,6.8,10.9,1.4,0.9,8.1,19.9,104,114,0.2,0.6,0.8,0.042,-2.0,-1.0,-2.9,-0.2
Jaxson Hayes,2019-20,19,NOP,NBA,56,951,12,17.8,0.017,0.736,9.0,15.7,12.3,7.5,1.1,4.6,11.6,15.1,131,110,2.5,1.0,3.5,0.17600000000000002,-0.8,0.8,0.1,0.5
Aron Baynes,2019-20,33,PHO,NBA,42,934,28,15.1,0.441,0.197,8.3,20.2,14.1,11.0,0.5,2.2,10.8,21.1,113,113,1.3,0.7,2.0,0.103,-0.2,-0.9,-1.1,0.2
Ryan Arcidiacono,2019-20,25,CHI,NBA,58,930,4,9.0,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,111,113,0.7,0.7,1.4,0.07,-2.7,-0.1,-2.8,-0.2
Treveon Graham,2019-20,26,TOT,NBA,55,929,20,6.6,0.496,0.231,5.7,11.7,8.6,6.6,1.2,0.5,9.8,13.1,99,116,-0.2,0.4,0.2,0.009000000000000001,-4.5,-1.1,-5.5,-0.8
Justin Jackson,2019-20,24,DAL,NBA,58,929,2,10.0,0.486,0.141,3.1,12.7,8.0,7.2,0.6,0.9,3.5,15.8,110,114,0.7,0.6,1.3,0.066,-1.7,-1.2,-2.9,-0.2
Isaiah Thomas,2019-20,30,WAS,NBA,40,925,37,11.6,0.444,0.17800000000000002,1.3,7.0,4.0,23.2,0.7,0.6,14.4,24.1,103,121,0.2,-0.1,0.0,0.001,-0.5,-3.9,-4.4,-0.6
DeAndre' Bembry,2019-20,25,ATL,NBA,43,915,4,9.6,0.285,0.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,95,112,-0.5,0.7,0.2,0.011,-3.5,1.0,-2.4,-0.1
Darius Bazley,2019-20,19,OKC,NBA,53,909,8,8.1,0.435,0.204,2.7,20.7,12.0,4.3,1.1,3.3,13.8,14.1,90,108,-0.8,1.2,0.4,0.019,-3.1,0.6,-2.5,-0.1
Cody Martin,2019-20,24,CHO,NBA,48,903,3,10.5,0.3720000000000001,0.314,4.4,15.1,9.6,15.7,2.2,0.9,15.7,13.6,104,112,0.2,0.8,1.0,0.052000000000000005,-3.1,1.0,-2.1,0.0
Mason Plumlee,2019-20,29,DEN,NBA,53,900,1,19.1,0.016,0.556,11.0,23.9,17.4,20.0,1.6,3.4,18.9,18.4,117,106,1.7,1.3,3.0,0.162,0.2,2.0,2.2,1.0
Ersan İlyasova,2019-20,32,MIL,NBA,56,895,8,15.2,0.428,0.259,7.1,22.5,15.2,7.0,1.2,1.4,9.3,16.4,119,101,1.5,1.9,3.4,0.18,-0.2,0.8,0.6,0.6
Alex Len,2019-20,26,TOT,NBA,49,895,9,18.0,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,116,111,1.4,0.9,2.3,0.122,-0.2,-0.2,-0.5,0.3
Enes Kanter,2019-20,27,BOS,NBA,51,891,6,22.0,0.023,0.28600000000000003,17.1,30.2,23.7,8.4,1.1,3.9,12.9,19.3,121,103,2.1,1.7,3.8,0.207,1.6,-0.1,1.5,0.8
Semi Ojeleye,2019-20,25,BOS,NBA,61,891,5,7.6,0.616,0.17600000000000002,2.9,11.9,7.5,4.5,1.0,0.5,6.5,8.8,119,111,0.8,0.9,1.7,0.091,-2.1,0.5,-1.6,0.1
Nicolò Melli,2019-20,29,NOP,NBA,52,889,6,12.3,0.647,0.21600000000000005,4.4,14.3,9.3,10.2,1.6,1.8,12.1,15.9,114,112,1.0,0.8,1.8,0.095,-0.9,0.3,-0.6,0.3
Damian Jones,2019-20,24,ATL,NBA,55,887,27,15.5,0.051,0.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,138,113,2.2,0.6,2.8,0.152,-1.6,0.1,-1.4,0.1
Omari Spellman,2019-20,22,GSW,NBA,49,886,3,14.4,0.373,0.312,9.1,18.0,13.4,8.1,1.8,2.4,13.9,18.8,107,112,0.5,0.7,1.2,0.065,-0.7,-1.0,-1.7,0.1
Vince Carter,2019-20,43,ATL,NBA,60,876,0,7.6,0.664,0.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,94,116,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5
Torrey Craig,2019-20,29,DEN,NBA,50,869,19,10.4,0.524,0.149,6.1,13.8,10.0,5.2,1.0,3.4,9.0,12.2,115,110,0.8,0.9,1.7,0.095,-2.4,0.1,-2.3,-0.1
Mohamed Bamba,2019-20,21,ORL,NBA,60,868,0,17.8,0.369,0.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,111,103,0.9,1.7,2.5,0.14,-1.1,1.7,0.5,0.6
Robin Lopez,2019-20,31,MIL,NBA,60,862,4,11.1,0.35200000000000004,0.158,6.3,10.2,8.4,6.4,0.5,4.1,15.6,16.6,104,104,0.2,1.5,1.7,0.095,-2.4,0.5,-1.9,0.0
Damyean Dotson,2019-20,25,NYK,NBA,48,836,0,10.9,0.562,0.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,109,116,0.6,0.3,0.9,0.053,-0.9,-0.5,-1.4,0.1
Juan Hernangómez,2019-20,24,TOT,NBA,48,833,14,10.4,0.522,0.287,5.5,20.4,12.8,6.6,1.1,1.0,10.3,15.7,105,112,0.2,0.7,1.0,0.055,-2.2,-1.1,-3.3,-0.3
Kyle Korver,2019-20,38,MIL,NBA,50,833,0,11.2,0.799,0.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,112,105,0.8,1.4,2.2,0.125,-0.5,0.7,0.2,0.5
Matthew Dellavedova,2019-20,29,CLE,NBA,57,821,4,8.1,0.52,0.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,103,118,0.1,0.1,0.2,0.01,-3.6,-1.6,-5.2,-0.7
Wesley Iwundu,2019-20,25,ORL,NBA,45,810,18,9.9,0.345,0.392,2.9,12.4,7.5,7.9,1.5,1.2,7.3,13.1,111,111,0.6,0.8,1.4,0.08,-3.1,0.2,-2.9,-0.2
Marco Belinelli,2019-20,33,SAS,NBA,52,779,0,10.2,0.5720000000000001,0.151,0.6,11.9,6.2,11.3,0.6,0.1,5.2,17.0,108,118,0.4,0.1,0.6,0.035,-1.0,-1.9,-2.9,-0.2
Khem Birch,2019-20,27,ORL,NBA,40,777,24,10.1,0.009000000000000001,0.583,9.3,15.7,12.4,6.1,1.0,2.4,13.7,9.3,116,110,0.7,0.8,1.5,0.092,-3.3,0.3,-3.0,-0.2
Thon Maker,2019-20,22,DET,NBA,60,776,14,13.7,0.332,0.57,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,111,110,0.7,0.8,1.5,0.096,-2.0,0.7,-1.4,0.1
Dewayne Dedmon,2019-20,30,TOT,NBA,44,774,18,9.4,0.42,0.141,8.5,27.7,17.9,4.1,1.5,4.8,17.4,18.2,90,108,-1.0,1.1,0.1,0.006,-5.8,0.0,-5.8,-0.7
Michael Carter-Williams,2019-20,28,ORL,NBA,42,773,0,15.7,0.281,0.36,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,110,107,0.7,1.1,1.9,0.116,-1.3,1.7,0.4,0.5
Georges Niang,2019-20,26,UTA,NBA,58,772,0,12.4,0.698,0.083,1.8,13.2,7.7,6.7,0.8,0.5,8.6,17.1,116,112,1.0,0.7,1.7,0.105,0.9,-0.4,0.5,0.5
Mario Hezonja,2019-20,24,POR,NBA,47,767,4,9.5,0.339,0.27,3.6,18.1,10.9,7.2,1.7,1.0,14.9,13.7,104,113,0.1,0.6,0.7,0.046,-3.1,0.2,-2.9,-0.2
Lonnie Walker,2019-20,21,SAS,NBA,53,767,4,11.0,0.266,0.199,2.8,13.4,8.1,8.4,1.8,1.5,9.6,18.2,101,114,0.0,0.5,0.5,0.028,-2.5,-0.7,-3.2,-0.2
Abdel Nader,2019-20,26,OKC,NBA,48,756,5,11.2,0.477,0.282,2.1,10.8,6.6,6.6,1.3,2.3,12.7,16.5,107,111,0.4,0.7,1.1,0.07200000000000001,-1.1,0.2,-0.8,0.2
Jevon Carter,2019-20,24,PHO,NBA,50,754,2,10.4,0.5710000000000001,0.122,3.6,11.0,7.2,11.7,2.4,1.5,12.6,13.9,107,111,0.3,0.7,1.1,0.068,-1.6,1.0,-0.6,0.3
Jeff Green,2019-20,33,TOT,NBA,40,754,2,12.8,0.529,0.28,3.4,12.5,8.1,6.2,1.3,1.7,10.9,18.9,110,110,0.6,0.8,1.4,0.08900000000000001,-0.4,0.0,-0.5,0.3
Emmanuel Mudiay,2019-20,23,UTA,NBA,48,752,1,13.7,0.263,0.239,2.6,13.7,8.4,21.8,1.2,1.1,16.9,22.4,105,110,0.3,0.8,1.1,0.071,-1.2,0.1,-1.1,0.2
Rodney McGruder,2019-20,28,LAC,NBA,50,749,3,6.5,0.506,0.179,3.7,13.7,8.8,5.1,1.4,0.9,11.1,10.5,99,108,-0.1,1.0,0.8,0.054000000000000006,-3.8,0.8,-3.0,-0.2
Jerome Robinson,2019-20,22,TOT,NBA,55,748,4,6.0,0.481,0.134,1.3,13.8,7.5,11.4,1.4,1.6,12.9,14.6,91,111,-0.7,0.7,0.0,0.003,-4.6,0.1,-4.5,-0.5
Anthony Tolliver,2019-20,34,TOT,NBA,47,732,9,6.6,0.7809999999999999,0.161,4.3,14.5,9.5,5.7,1.0,1.3,15.3,11.4,100,115,-0.1,0.4,0.3,0.018000000000000002,-3.1,-0.7,-3.8,-0.3
Chris Boucher,2019-20,27,TOR,NBA,55,724,0,19.8,0.381,0.396,14.0,21.1,17.7,4.7,1.3,7.1,7.0,19.4,122,101,1.7,1.5,3.2,0.214,0.4,1.0,1.4,0.6
Bruno Fernando,2019-20,21,ATL,NBA,56,713,13,11.9,0.18600000000000005,0.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,107,114,0.4,0.4,0.8,0.055,-3.2,-1.0,-4.1,-0.4
Elie Okobo,2019-20,22,PHO,NBA,54,707,3,10.5,0.392,0.37,2.5,11.6,6.9,21.5,1.6,0.5,15.3,14.9,107,113,0.4,0.5,0.9,0.059,-2.0,-0.1,-2.1,0.0
Dwayne Bacon,2019-20,24,CHO,NBA,39,687,11,6.1,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,86,114,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8
Timothé Luwawu-Cabarrot,2019-20,24,BRK,NBA,39,671,0,8.9,0.568,0.32299999999999995,3.8,10.0,7.0,5.3,1.1,0.7,12.7,15.7,108,111,0.4,0.6,1.0,0.069,-3.0,-0.2,-3.2,-0.2
Michael Porter,2019-20,21,DEN,NBA,48,670,1,18.5,0.358,0.151,8.8,24.3,16.5,8.0,1.5,2.6,10.3,22.0,114,107,1.0,0.9,2.0,0.141,1.4,-0.7,0.8,0.5
Keita Bates-Diop,2019-20,24,TOT,NBA,39,665,0,12.6,0.452,0.332,3.2,15.0,8.9,6.5,1.2,2.6,5.5,15.6,112,113,0.6,0.5,1.1,0.081,-0.8,-0.1,-0.8,0.2
Sterling Brown,2019-20,24,MIL,NBA,45,665,1,9.3,0.523,0.161,4.4,19.2,12.3,8.8,1.5,0.9,13.4,16.7,96,102,-0.4,1.3,1.0,0.071,-3.1,1.0,-2.0,0.0
Frank Jackson,2019-20,21,NOP,NBA,51,656,1,7.7,0.467,0.249,3.0,8.4,5.7,8.6,1.1,0.5,13.1,20.4,97,115,-0.4,0.3,-0.1,-0.005,-4.0,-2.0,-6.0,-0.7
Daniel Gafford,2019-20,21,CHI,NBA,43,609,7,16.2,0.0,0.448,9.0,10.3,9.6,5.2,1.0,8.7,15.3,13.3,124,109,1.1,0.8,1.8,0.146,-2.8,1.5,-1.3,0.1
Patrick Patterson,2019-20,30,LAC,NBA,51,607,18,11.7,0.755,0.181,5.2,15.1,10.3,6.9,0.5,0.4,8.1,15.1,118,111,0.9,0.6,1.5,0.118,0.9,-0.5,0.4,0.4
John Henson,2019-20,29,TOT,NBA,40,600,8,17.0,0.211,0.269,8.5,21.8,15.1,13.4,2.0,6.0,15.8,16.3,112,109,0.6,0.8,1.4,0.109,-1.1,2.1,1.0,0.5
Alfonzo McKinnie,2019-20,27,CLE,NBA,40,593,1,8.7,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,99,115,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
Nassir Little,2019-20,19,POR,NBA,48,573,5,9.7,0.391,0.29100000000000004,5.7,13.7,9.8,5.1,1.1,2.1,8.1,13.7,108,115,0.3,0.3,0.6,0.05,-2.9,-0.6,-3.5,-0.2
Raul Neto,2019-20,27,PHI,NBA,49,565,3,11.5,0.406,0.177,2.1,8.0,5.1,19.3,1.9,0.8,18.2,17.6,106,110,0.2,0.6,0.8,0.071,-1.8,-0.1,-1.9,0.0
Tony Bradley,2019-20,22,UTA,NBA,50,535,2,21.8,0.006,0.258,19.3,24.7,22.1,4.9,1.1,3.9,11.8,16.1,135,105,1.8,0.9,2.7,0.242,0.9,0.4,1.3,0.4
Nickeil Alexander-Walker,2019-20,21,NOP,NBA,41,501,0,7.6,0.515,0.123,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,91,113,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4
Rodions Kurucs,2019-20,21,BRK,NBA,39,501,4,8.4,0.485,0.209,3.8,15.8,10.0,9.4,1.6,0.5,19.3,15.1,99,109,-0.1,0.6,0.5,0.048,-3.9,0.9,-2.9,-0.1
Mike Muscala,2019-20,28,OKC,NBA,41,492,0,12.2,0.755,0.138,3.0,17.7,10.6,9.8,0.8,1.9,7.7,16.4,113,110,0.5,0.5,1.0,0.102,-0.1,-0.1,-0.2,0.2
Yogi Ferrell,2019-20,26,SAC,NBA,44,484,0,10.7,0.408,0.219,1.4,10.0,5.6,17.6,1.4,0.8,11.9,18.9,103,114,0.1,0.3,0.4,0.036000000000000004,-2.1,-0.4,-2.5,-0.1
Shaquille Harrison,2019-20,26,CHI,NBA,43,484,10,17.8,0.255,0.303,4.8,15.3,9.8,15.3,3.4,3.7,9.2,18.1,116,105,0.8,0.8,1.5,0.153,0.4,2.4,2.8,0.6
Marko Guduric,2019-20,24,MEM,NBA,42,476,0,8.8,0.526,0.162,3.1,12.3,7.8,12.4,1.2,1.5,17.9,17.6,97,113,-0.2,0.4,0.1,0.012,-2.6,-0.8,-3.4,-0.2
Cheick Diallo,2019-20,23,PHO,NBA,44,467,2,16.3,0.015,0.27,6.5,24.1,15.1,7.2,1.0,2.3,16.4,16.7,119,111,0.8,0.5,1.3,0.129,-1.1,-0.3,-1.4,0.1
Troy Daniels,2019-20,28,TOT,NBA,42,457,0,8.9,0.711,0.101,2.9,7.9,5.5,4.1,0.8,0.6,5.1,16.2,107,111,0.2,0.4,0.7,0.07,-1.2,-1.0,-2.2,0.0
Thabo Sefolosha,2019-20,35,HOU,NBA,41,436,0,9.5,0.593,0.08800000000000001,5.0,17.4,11.2,7.5,2.6,2.4,13.7,10.4,104,107,0.1,0.6,0.7,0.073,-2.7,1.6,-1.1,0.1
Javonte Green,2019-20,26,BOS,NBA,44,414,1,12.3,0.235,0.3670000000000001,4.7,15.9,10.4,7.6,2.7,1.6,13.7,13.6,110,105,0.3,0.7,1.0,0.112,-2.4,1.8,-0.6,0.1
Goga Bitadze,2019-20,20,IND,NBA,49,410,2,12.2,0.279,0.256,6.0,19.8,12.9,7.1,0.7,6.9,14.8,18.1,100,106,-0.1,0.7,0.6,0.069,-4.0,1.5,-2.5,0.0
Jared Dudley,2019-20,34,LAL,NBA,40,311,1,7.4,0.68,0.04,1.8,13.0,7.5,7.4,1.8,0.8,10.5,7.7,118,107,0.2,0.4,0.7,0.103,-2.7,2.0,-0.7,0.1
Chris Silva,2019-20,23,MIA,NBA,41,307,0,17.2,0.029,0.71,20.6,19.3,19.9,10.2,1.4,5.8,25.5,17.5,120,106,0.7,0.5,1.1,0.17800000000000002,-3.4,0.9,-2.5,0.0
