Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
John Wall,2014-15,24,WAS,NBA,79,2837,79,9.4,21.1,8.2,17.1,1.2,3.9,5.1,6.5,0.7,6.0,6.6,14.3,2.5,0.8,5.5,3.3,25.1,0.445,0.478,0.3,0.473,0.785,0.523,0
John Wall,2016-17,26,WAS,NBA,78,2836,78,11.2,24.9,9.7,20.2,1.5,4.7,7.3,9.2,1.0,4.6,5.7,14.4,2.7,0.9,5.6,2.6,31.4,0.451,0.48,0.327,0.48200000000000004,0.8009999999999999,0.541,1
Giannis Antetokounmpo,2015-16,21,MIL,NBA,80,2823,79,9.3,18.3,8.8,16.3,0.5,2.0,5.3,7.4,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,0.506,0.537,0.257,0.52,0.7240000000000001,0.5660000000000001,0
Joakim Noah,2013-14,28,CHI,NBA,80,2820,80,7.2,15.1,7.2,15.1,0.0,0.0,4.7,6.3,5.3,11.7,17.0,8.1,1.9,2.3,3.7,4.6,19.0,0.475,0.47600000000000003,0.0,0.475,0.737,0.531,1
DeAndre Jordan,2014-15,26,LAC,NBA,82,2820,82,6.8,9.6,6.8,9.5,0.0,0.1,3.4,8.5,7.1,14.9,22.0,1.1,1.5,3.3,2.0,4.4,17.0,0.71,0.713,0.25,0.711,0.397,0.638,1
Paul George,2015-16,25,IND,NBA,81,2819,81,10.7,25.5,7.0,15.6,3.7,10.0,8.0,9.3,1.4,8.5,9.9,5.8,2.7,0.5,4.7,4.1,33.0,0.418,0.447,0.371,0.49,0.86,0.557,1
Jimmy Butler,2016-17,27,CHI,NBA,76,2809,75,10.2,22.5,8.6,18.0,1.6,4.4,10.5,12.1,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,0.455,0.47700000000000004,0.3670000000000001,0.4920000000000001,0.865,0.586,1
Draymond Green,2015-16,25,GSW,NBA,81,2808,81,6.9,14.1,5.2,9.7,1.7,4.4,3.9,5.7,2.3,10.9,13.2,10.3,2.0,1.9,4.5,4.1,19.5,0.49,0.537,0.38799999999999996,0.551,0.696,0.5870000000000001,1
Nicolas Batum,2012-13,24,POR,NBA,73,2807,73,6.6,15.6,3.5,7.3,3.1,8.3,3.3,3.9,1.8,5.9,7.7,6.7,1.7,1.6,3.6,2.6,19.6,0.423,0.481,0.3720000000000001,0.522,0.848,0.5660000000000001,0
Jeff Green,2013-14,27,BOS,NBA,82,2805,82,8.8,21.5,6.4,14.2,2.5,7.3,5.2,6.5,1.0,6.0,7.0,2.5,1.0,0.9,3.0,3.3,25.3,0.412,0.448,0.341,0.469,0.795,0.52,0
DeMar DeRozan,2015-16,26,TOR,NBA,78,2804,78,11.3,25.4,10.4,22.8,0.9,2.6,10.2,12.0,1.2,5.3,6.4,5.8,1.5,0.4,3.2,3.1,33.7,0.446,0.458,0.338,0.463,0.85,0.55,0
Harrison Barnes,2016-17,24,DAL,NBA,79,2803,79,11.1,23.8,9.7,19.6,1.4,4.1,4.5,5.2,1.7,5.6,7.3,2.2,1.2,0.3,1.9,2.4,28.2,0.468,0.4920000000000001,0.35100000000000003,0.498,0.861,0.541,0
P.J. Tucker,2018-19,33,HOU,NBA,82,2802,82,3.6,9.2,1.1,2.4,2.6,6.8,0.7,1.0,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,0.396,0.449,0.377,0.535,0.695,0.547,0
Russell Westbrook,2016-17,28,OKC,NBA,81,2802,81,14.4,34.0,10.9,23.8,3.5,10.2,12.4,14.7,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,0.425,0.45899999999999996,0.34299999999999997,0.47600000000000003,0.845,0.5539999999999999,1
Eric Bledsoe,2014-15,25,PHO,NBA,81,2800,81,8.3,18.6,6.8,13.8,1.6,4.8,6.3,7.9,1.3,6.2,7.5,8.8,2.3,0.8,4.9,3.4,24.5,0.447,0.491,0.324,0.489,0.8,0.555,0
Gordon Hayward,2013-14,23,UTA,NBA,77,2800,77,8.0,19.4,6.4,14.1,1.6,5.3,5.8,7.1,1.2,6.2,7.3,7.5,2.1,0.8,4.0,2.9,23.4,0.413,0.453,0.304,0.454,0.816,0.52,0
Kevin Love,2013-14,25,MIN,NBA,77,2797,77,11.5,25.1,8.1,16.2,3.4,8.9,9.2,11.2,3.9,13.0,17.0,6.0,1.0,0.6,3.5,2.4,35.4,0.457,0.502,0.376,0.524,0.821,0.591,1
Marc Gasol,2012-13,28,MEM,NBA,80,2796,80,8.3,16.9,8.3,16.6,0.0,0.3,5.2,6.1,3.6,8.5,12.1,6.2,1.6,2.7,3.0,5.0,21.9,0.494,0.501,0.071,0.494,0.848,0.5589999999999999,1
CJ McCollum,2016-17,25,POR,NBA,80,2796,80,12.3,25.6,9.0,17.8,3.3,7.8,4.8,5.2,1.1,4.1,5.1,5.1,1.3,0.7,3.1,3.6,32.6,0.48,0.506,0.421,0.544,0.912,0.585,0
LeBron James,2016-17,32,CLE,NBA,74,2794,74,13.1,24.0,10.9,17.9,2.2,6.1,6.4,9.5,1.7,9.7,11.4,11.5,1.6,0.8,5.4,2.4,34.9,0.5479999999999999,0.611,0.363,0.594,0.674,0.619,1
Joe Johnson,2014-15,33,BRK,NBA,80,2791,80,8.3,19.0,6.0,12.8,2.2,6.3,2.6,3.3,1.0,6.1,7.1,5.4,1.1,0.3,2.5,2.2,21.4,0.435,0.472,0.359,0.494,0.8009999999999999,0.523,0
LaMarcus Aldridge,2012-13,27,POR,NBA,74,2790,74,12.0,24.8,12.0,24.6,0.0,0.3,5.3,6.6,3.3,9.3,12.6,3.6,1.2,1.7,2.7,3.5,29.4,0.484,0.488,0.14300000000000002,0.485,0.81,0.53,0
