Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
Paul Millsap,2016-17,31,ATL,NBA,69,2343,67,9.0,20.4,7.5,15.4,1.6,5.1,6.5,8.5,2.3,8.9,11.2,5.3,1.9,1.3,3.3,3.9,26.2,0.442,0.486,0.311,0.481,0.768,0.542,0
Mike Conley,2018-19,31,MEM,NBA,70,2342,70,10.4,23.8,7.1,14.7,3.3,9.0,7.3,8.6,0.8,4.2,5.1,9.5,2.0,0.5,2.8,2.6,31.4,0.438,0.483,0.364,0.507,0.845,0.569,0
Al-Farouq Aminu,2015-16,25,POR,NBA,82,2341,82,6.4,15.4,3.7,7.9,2.7,7.5,2.5,3.3,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,0.416,0.468,0.361,0.503,0.737,0.5329999999999999,0
DeMarre Carroll,2013-14,27,ATL,NBA,73,2341,73,6.5,13.9,4.4,8.1,2.1,5.8,2.4,3.1,2.3,6.4,8.7,2.9,2.3,0.5,1.7,4.1,17.6,0.47,0.5479999999999999,0.362,0.546,0.773,0.575,0
Marvin Williams,2015-16,29,CHO,NBA,81,2338,81,7.3,16.0,4.0,7.9,3.3,8.1,2.6,3.1,2.7,8.5,11.2,2.4,1.2,1.7,1.3,2.9,20.3,0.452,0.504,0.402,0.5539999999999999,0.833,0.585,0
Kyle Singler,2013-14,25,DET,NBA,82,2337,36,5.8,13.0,3.8,7.7,2.0,5.3,3.3,4.0,2.5,4.0,6.6,1.6,1.3,0.8,1.7,4.6,17.0,0.447,0.4920000000000001,0.382,0.525,0.826,0.574,0
Tony Snell,2016-17,25,MIL,NBA,80,2336,80,5.3,11.8,2.2,4.0,3.1,7.7,1.0,1.3,0.5,4.9,5.4,2.1,1.2,0.3,1.2,2.7,14.8,0.455,0.5479999999999999,0.406,0.588,0.81,0.603,0
Tristan Thompson,2016-17,25,CLE,NBA,78,2336,78,5.6,9.3,5.6,9.3,0.0,0.1,2.3,4.6,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,0.6,0.604,0.0,0.6,0.498,0.594,0
LaMarcus Aldridge,2016-17,31,SAS,NBA,72,2335,72,10.9,22.9,10.4,21.7,0.5,1.2,4.8,5.9,3.8,7.7,11.4,3.0,1.0,1.9,2.1,3.4,27.1,0.477,0.48,0.411,0.488,0.812,0.532,0
Jae Crowder,2016-17,26,BOS,NBA,72,2335,72,7.1,15.3,3.7,6.9,3.3,8.4,3.7,4.6,1.0,7.8,8.8,3.3,1.6,0.5,1.7,3.4,21.2,0.463,0.54,0.398,0.5720000000000001,0.8109999999999999,0.613,0
Chris Paul,2012-13,27,LAC,NBA,70,2335,70,9.3,19.3,7.6,14.1,1.7,5.2,6.5,7.3,1.2,4.7,5.9,15.3,3.8,0.2,3.6,3.2,26.7,0.48100000000000004,0.5379999999999999,0.32799999999999996,0.526,0.885,0.594,1
Courtney Lee,2015-16,30,TOT,NBA,79,2334,65,6.3,14.0,4.5,9.2,1.8,4.7,2.2,2.6,0.6,3.8,4.5,3.0,1.9,0.6,1.6,2.9,16.6,0.454,0.493,0.378,0.518,0.8390000000000001,0.551,0
Stephen Curry,2018-19,30,GSW,NBA,69,2331,69,12.9,27.3,5.7,10.8,7.2,16.5,5.4,5.9,0.9,6.6,7.5,7.4,1.9,0.5,3.9,3.4,38.4,0.47200000000000003,0.525,0.4370000000000001,0.604,0.9159999999999999,0.6409999999999999,1
Gerald Green,2013-14,28,PHO,NBA,82,2330,48,9.6,21.6,5.2,10.7,4.4,11.0,4.2,4.9,1.0,4.9,5.9,2.6,1.5,0.9,3.1,4.7,27.9,0.445,0.4920000000000001,0.4,0.547,0.848,0.585,0
Kevin Durant,2017-18,29,GSW,NBA,68,2325,68,13.1,25.3,9.5,16.8,3.6,8.6,7.4,8.4,0.6,9.0,9.6,7.6,1.0,2.5,4.3,2.8,37.1,0.516,0.565,0.419,0.586,0.889,0.64,1
Amir Johnson,2012-13,25,TOR,NBA,81,2325,38,7.7,13.8,7.6,13.5,0.1,0.3,3.1,4.3,5.2,8.8,14.0,2.8,1.8,2.5,2.7,6.9,18.6,0.5539999999999999,0.5579999999999999,0.385,0.5589999999999999,0.727,0.591,0
Ricky Rubio,2015-16,25,MIN,NBA,76,2323,76,4.8,12.7,3.4,8.6,1.3,4.1,5.8,6.8,0.9,6.2,7.1,14.3,3.5,0.2,4.2,4.4,16.6,0.374,0.396,0.326,0.4270000000000001,0.847,0.529,0
Eric Gordon,2016-17,28,HOU,NBA,75,2323,15,8.5,21.0,3.4,7.3,5.1,13.7,3.0,3.6,0.6,3.6,4.2,3.9,1.0,0.8,2.5,3.1,25.1,0.406,0.468,0.3720000000000001,0.527,0.84,0.557,0
J.J. Hickson,2012-13,24,POR,NBA,80,2323,80,9.5,16.8,9.5,16.8,0.0,0.0,4.1,6.1,6.0,12.7,18.7,2.0,1.1,1.2,3.3,3.6,23.0,0.562,0.563,0.0,0.562,0.679,0.591,0
Eric Bledsoe,2017-18,28,TOT,NBA,74,2322,74,10.0,21.2,7.4,13.5,2.7,7.7,5.4,6.8,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,0.473,0.545,0.34700000000000003,0.536,0.795,0.5820000000000001,0
Brook Lopez,2018-19,30,MIL,NBA,81,2322,81,7.1,15.7,3.4,5.5,3.7,10.2,2.2,2.7,0.7,7.3,7.9,2.0,1.0,3.6,1.6,3.8,20.2,0.452,0.613,0.365,0.5710000000000001,0.8420000000000001,0.597,0
Al Horford,2014-15,28,ATL,NBA,76,2318,76,11.4,21.3,11.2,20.5,0.2,0.8,2.4,3.1,2.9,9.1,12.0,5.4,1.5,2.2,2.2,2.7,25.5,0.5379999999999999,0.547,0.306,0.544,0.759,0.563,0
Luka Dončić,2018-19,19,DAL,NBA,72,2318,72,10.6,24.8,7.1,14.1,3.5,10.8,7.2,10.1,1.8,10.0,11.8,9.0,1.6,0.5,5.2,2.9,31.9,0.4270000000000001,0.503,0.327,0.4970000000000001,0.713,0.545,0
Harrison Barnes,2014-15,22,GSW,NBA,82,2318,82,6.7,13.8,4.8,9.3,1.8,4.5,2.3,3.2,2.5,7.1,9.5,2.4,1.3,0.4,1.5,3.1,17.4,0.482,0.519,0.405,0.5479999999999999,0.72,0.573,0
Gerald Henderson,2014-15,27,CHO,NBA,80,2315,72,8.3,18.9,7.2,15.9,1.0,3.0,4.1,4.8,0.8,5.3,6.1,4.6,1.1,0.5,2.5,3.0,21.6,0.4370000000000001,0.457,0.331,0.463,0.848,0.514,0
Dennis Schröder,2018-19,25,OKC,NBA,79,2314,14,9.2,22.3,6.7,14.9,2.5,7.3,3.8,4.6,0.8,5.0,5.7,6.5,1.3,0.2,3.5,3.8,24.7,0.414,0.45,0.341,0.47,0.8190000000000001,0.508,0
Greg Monroe,2015-16,25,MIL,NBA,79,2314,67,10.8,20.7,10.8,20.7,0.0,0.0,5.0,6.8,4.8,10.5,15.3,3.9,1.6,1.5,2.8,3.6,26.6,0.522,0.522,0.0,0.522,0.74,0.562,0
Kyle Kuzma,2018-19,23,LAL,NBA,70,2314,68,10.0,21.9,7.4,13.4,2.6,8.5,3.8,5.0,1.2,6.5,7.7,3.6,0.8,0.5,2.7,3.4,26.3,0.456,0.5529999999999999,0.303,0.515,0.752,0.546,0
Raymond Felton,2012-13,28,NYK,NBA,68,2313,68,8.7,20.4,6.6,14.4,2.1,6.0,2.3,3.0,1.2,3.3,4.5,8.6,2.2,0.3,3.6,3.0,21.9,0.4270000000000001,0.455,0.36,0.48,0.789,0.505,0
Danny Green,2014-15,27,SAS,NBA,81,2312,80,7.1,16.3,2.9,6.2,4.2,10.1,2.5,2.8,1.2,6.4,7.6,3.5,2.2,1.9,2.1,3.6,20.9,0.436,0.466,0.418,0.5660000000000001,0.8740000000000001,0.596,0
Channing Frye,2013-14,30,PHO,NBA,82,2312,82,7.3,16.9,3.8,7.5,3.5,9.4,1.7,2.1,1.6,7.4,9.0,2.1,1.3,1.4,1.9,5.3,19.7,0.4320000000000001,0.509,0.37,0.535,0.821,0.555,0
Jeff Teague,2017-18,29,MIN,NBA,70,2311,70,7.7,17.2,5.8,12.2,1.8,4.9,4.4,5.2,0.5,4.0,4.5,10.6,2.2,0.5,3.8,3.7,21.5,0.446,0.477,0.368,0.499,0.845,0.5529999999999999,0
Nerlens Noel,2014-15,20,PHI,NBA,75,2311,71,6.6,14.2,6.6,14.2,0.0,0.0,3.0,5.0,4.0,9.2,13.3,2.8,2.9,3.1,3.2,4.5,16.1,0.462,0.462,,0.462,0.609,0.493,0
Courtney Lee,2017-18,32,NYK,NBA,76,2310,69,7.4,16.2,4.9,10.2,2.4,6.0,2.4,2.7,0.6,4.2,4.8,3.9,1.7,0.4,1.8,2.3,19.6,0.454,0.482,0.406,0.529,0.919,0.564,0
Dario Šarić,2017-18,23,PHI,NBA,78,2310,73,8.4,18.5,5.1,10.2,3.3,8.3,3.7,4.3,3.2,7.6,10.8,4.2,1.1,0.4,3.1,3.3,23.8,0.453,0.501,0.393,0.541,0.86,0.5820000000000001,0
Danilo Gallinari,2012-13,24,DEN,NBA,71,2309,71,8.0,19.0,5.0,11.1,3.0,7.9,6.3,7.6,1.4,6.6,8.0,3.8,1.4,0.8,2.4,2.8,25.1,0.418,0.45,0.373,0.495,0.8220000000000001,0.561,0
James Anderson,2013-14,24,PHI,NBA,80,2309,62,6.5,15.0,4.1,7.7,2.4,7.4,1.6,2.2,1.2,5.1,6.3,3.1,1.6,0.6,2.2,3.2,17.0,0.431,0.53,0.328,0.511,0.726,0.53,0
Jae Crowder,2015-16,25,BOS,NBA,73,2308,73,7.6,17.2,5.0,9.5,2.6,7.7,4.1,5.0,1.5,6.4,7.9,2.9,2.7,0.7,1.8,4.2,21.9,0.443,0.529,0.336,0.518,0.82,0.565,0
Arron Afflalo,2012-13,27,ORL,NBA,64,2307,64,9.0,20.4,7.3,15.0,1.6,5.4,4.3,5.0,0.7,4.7,5.4,4.7,0.9,0.2,3.1,3.1,23.9,0.439,0.489,0.3,0.478,0.857,0.527,0
Spencer Dinwiddie,2017-18,24,BRK,NBA,80,2306,58,6.8,17.6,3.9,8.5,3.0,9.1,4.6,5.6,0.8,4.6,5.5,11.0,1.4,0.5,2.7,3.9,21.2,0.387,0.452,0.326,0.471,0.813,0.527,0
Zach Randolph,2014-15,33,MEM,NBA,71,2304,71,10.3,21.1,10.1,20.7,0.2,0.5,5.2,6.8,5.1,11.8,16.9,3.5,1.6,0.3,3.5,4.0,25.9,0.487,0.49,0.35,0.491,0.765,0.5379999999999999,0
Gary Harris,2017-18,23,DEN,NBA,67,2304,65,9.5,19.5,6.1,11.1,3.4,8.5,2.9,3.5,0.8,3.0,3.8,4.2,2.6,0.3,2.6,2.6,25.2,0.485,0.5529999999999999,0.396,0.57,0.8270000000000001,0.597,0
Russell Westbrook,2014-15,26,OKC,NBA,67,2302,67,13.7,32.0,11.8,25.8,1.9,6.3,11.9,14.2,2.7,7.9,10.6,12.5,3.0,0.3,6.4,4.0,41.1,0.426,0.457,0.299,0.455,0.835,0.536,1
Josh Smith,2014-15,29,TOT,NBA,83,2300,35,9.1,21.7,7.5,16.7,1.6,5.0,2.8,5.6,3.3,8.3,11.6,6.1,1.9,2.5,4.5,5.0,22.5,0.419,0.451,0.316,0.456,0.498,0.467,0
DeMarcus Cousins,2013-14,23,SAC,NBA,71,2298,71,13.1,26.4,13.1,26.2,0.0,0.2,9.6,13.2,4.8,13.6,18.4,4.6,2.4,2.0,5.6,6.0,35.7,0.496,0.499,0.0,0.496,0.726,0.555,0
Aaron Gordon,2016-17,21,ORL,NBA,80,2298,72,8.5,18.7,6.8,12.9,1.7,5.8,3.4,4.7,2.5,6.2,8.7,3.2,1.4,0.9,1.9,3.7,22.0,0.454,0.528,0.28800000000000003,0.499,0.7190000000000001,0.53,0
Marvin Williams,2016-17,30,CHO,NBA,76,2295,76,6.5,15.4,3.8,7.7,2.7,7.7,2.9,3.3,1.9,9.0,10.9,2.3,1.3,1.2,1.3,2.9,18.6,0.422,0.494,0.35,0.51,0.873,0.551,0
Zach LaVine,2015-16,20,MIN,NBA,82,2294,33,9.5,21.1,6.8,14.1,2.7,6.9,3.5,4.5,0.6,4.4,5.0,5.5,1.5,0.4,3.4,4.2,25.3,0.452,0.482,0.389,0.516,0.7929999999999999,0.5479999999999999,0
Joe Harris,2018-19,27,BRK,NBA,76,2293,76,7.8,15.5,4.0,7.5,3.8,8.0,2.3,2.8,1.1,5.0,6.0,3.8,0.8,0.4,2.5,3.8,21.6,0.5,0.528,0.474,0.622,0.8270000000000001,0.645,0
Bryn Forbes,2018-19,25,SAS,NBA,82,2293,81,7.7,16.8,3.9,8.1,3.7,8.8,1.5,1.7,0.4,4.7,5.1,3.7,1.0,0.1,1.7,3.4,20.6,0.456,0.489,0.426,0.568,0.885,0.586,0
Kyle Singler,2012-13,24,DET,NBA,82,2293,74,6.3,14.8,4.7,10.2,1.6,4.6,2.3,2.9,2.5,5.1,7.6,1.8,1.3,0.9,2.3,5.0,16.6,0.428,0.464,0.35,0.483,0.8059999999999999,0.517,0
Al-Farouq Aminu,2018-19,28,POR,NBA,81,2292,81,5.4,12.5,3.4,6.6,2.0,5.9,3.2,3.7,2.4,10.5,12.9,2.2,1.4,0.7,1.5,3.0,16.1,0.433,0.514,0.343,0.514,0.867,0.568,0
Mike Conley,2016-17,29,MEM,NBA,69,2292,68,10.5,22.9,6.7,13.4,3.9,9.5,7.2,8.4,0.7,4.8,5.5,9.8,2.1,0.4,3.5,2.9,32.1,0.46,0.4970000000000001,0.408,0.545,0.8590000000000001,0.604,0
Pau Gasol,2015-16,35,CHI,NBA,72,2291,72,10.2,21.8,9.7,20.3,0.5,1.5,5.0,6.3,3.4,14.0,17.4,6.4,0.9,3.2,3.6,3.2,26.0,0.469,0.478,0.348,0.481,0.792,0.529,0
DeMarcus Cousins,2012-13,22,SAC,NBA,75,2289,74,10.8,23.2,10.7,22.7,0.1,0.5,7.0,9.5,5.0,11.7,16.7,4.5,2.4,1.2,5.0,6.0,28.7,0.465,0.471,0.182,0.467,0.738,0.524,0
Reggie Jackson,2018-19,28,DET,NBA,82,2289,82,9.5,22.6,5.8,12.4,3.7,10.1,4.4,5.1,1.0,3.7,4.7,7.4,1.2,0.2,3.2,4.5,27.1,0.421,0.464,0.369,0.504,0.8640000000000001,0.547,0
David Lee,2013-14,30,GSW,NBA,69,2288,67,11.2,21.4,11.2,21.4,0.0,0.0,5.0,6.5,4.0,10.1,14.0,3.2,1.0,0.6,3.3,4.5,27.4,0.523,0.523,0.0,0.523,0.78,0.5660000000000001,0
Trey Burke,2014-15,22,UTA,NBA,76,2288,43,8.6,23.3,5.7,14.3,2.9,9.1,2.5,3.4,0.7,4.0,4.7,7.6,1.5,0.3,2.9,2.8,22.6,0.368,0.4,0.318,0.43,0.752,0.455,0
Draymond Green,2017-18,27,GSW,NBA,70,2287,70,5.9,13.0,4.3,7.6,1.6,5.4,2.8,3.6,1.6,9.7,11.3,10.7,2.0,1.9,4.3,3.9,16.3,0.454,0.562,0.301,0.516,0.775,0.556,0
Julius Randle,2015-16,21,LAL,NBA,81,2286,60,7.9,18.3,7.6,17.6,0.2,0.8,4.2,5.9,3.8,14.4,18.2,3.2,1.2,0.6,3.3,5.3,20.2,0.429,0.436,0.278,0.435,0.715,0.482,0
Tyson Chandler,2014-15,32,DAL,NBA,75,2286,75,6.5,9.7,6.5,9.7,0.0,0.0,4.1,5.7,6.5,12.6,19.1,1.9,0.9,2.0,2.3,3.7,17.0,0.6659999999999999,0.6659999999999999,,0.6659999999999999,0.72,0.6970000000000001,0
Jason Thompson,2012-13,26,SAC,NBA,82,2285,81,8.4,16.7,8.4,16.6,0.0,0.1,3.2,4.6,3.9,8.5,12.3,1.9,1.1,1.4,2.3,5.1,20.0,0.502,0.504,0.0,0.502,0.6940000000000001,0.5329999999999999,0
Jonas Valančiūnas,2013-14,21,TOR,NBA,81,2282,81,8.2,15.5,8.2,15.5,0.0,0.0,4.5,6.0,5.2,11.2,16.4,1.3,0.5,1.6,3.1,5.7,21.0,0.531,0.532,0.0,0.531,0.762,0.579,0
Dirk Nowitzki,2014-15,36,DAL,NBA,77,2282,77,10.8,23.5,8.5,17.4,2.3,6.1,5.6,6.4,1.0,9.1,10.1,3.2,0.9,0.7,1.8,3.5,29.5,0.459,0.486,0.38,0.508,0.882,0.56,0
Yogi Ferrell,2017-18,24,DAL,NBA,82,2282,21,6.8,16.1,3.9,8.2,2.9,7.9,1.8,2.3,0.6,4.9,5.5,4.4,1.4,0.2,1.7,3.4,18.4,0.426,0.477,0.373,0.518,0.7959999999999999,0.54,0
P.J. Tucker,2017-18,32,HOU,NBA,82,2281,34,3.7,9.5,1.2,2.8,2.5,6.7,0.9,1.3,2.0,7.9,9.9,1.7,1.7,0.6,1.6,4.4,10.8,0.39,0.435,0.371,0.52,0.7170000000000001,0.537,0
Dwight Howard,2015-16,30,HOU,NBA,71,2280,71,8.0,12.9,8.0,12.8,0.0,0.1,5.0,10.2,5.1,12.9,18.0,2.1,1.5,2.4,3.6,4.7,21.0,0.62,0.626,0.0,0.62,0.489,0.604,0
Derrick Favors,2014-15,23,UTA,NBA,74,2280,74,11.2,21.4,11.2,21.2,0.0,0.1,5.2,7.7,4.6,9.6,14.1,2.6,1.4,2.9,2.8,4.9,27.6,0.525,0.527,0.16699999999999998,0.526,0.669,0.5579999999999999,0
Brandon Ingram,2016-17,19,LAL,NBA,79,2279,40,5.9,14.7,4.7,10.7,1.2,4.0,2.8,4.6,1.3,5.5,6.8,3.5,1.1,0.8,2.5,3.4,15.8,0.402,0.443,0.294,0.442,0.621,0.474,0
John Salmons,2012-13,33,SAC,NBA,76,2278,72,5.5,13.8,3.3,7.8,2.2,6.0,1.9,2.5,0.7,3.9,4.7,5.1,1.1,0.6,1.9,3.2,15.1,0.399,0.42,0.371,0.48,0.773,0.509,0
Lance Stephenson,2012-13,22,IND,NBA,78,2278,72,6.4,14.0,5.0,9.6,1.4,4.4,1.8,2.7,1.1,6.0,7.1,5.2,1.9,0.4,2.5,3.8,16.1,0.46,0.52,0.33,0.512,0.652,0.53,0
Al Horford,2017-18,31,BOS,NBA,72,2277,72,8.1,16.5,5.9,11.6,2.1,5.0,2.1,2.6,2.3,9.4,11.6,7.4,0.9,1.7,2.9,3.0,20.3,0.489,0.514,0.429,0.5529999999999999,0.7829999999999999,0.575,0
Reggie Jackson,2013-14,23,OKC,NBA,80,2277,36,8.9,20.2,7.1,14.8,1.8,5.4,3.5,3.9,0.9,6.0,6.9,7.3,1.9,0.2,3.7,3.1,23.1,0.44,0.477,0.339,0.485,0.893,0.527,0
Otto Porter,2015-16,22,WAS,NBA,75,2276,73,7.3,15.4,5.2,9.6,2.1,5.7,2.0,2.7,2.1,6.3,8.4,2.6,2.2,0.7,1.5,3.5,18.7,0.473,0.536,0.3670000000000001,0.541,0.754,0.564,0
Eric Bledsoe,2018-19,29,MIL,NBA,78,2272,78,9.6,19.9,7.1,12.2,2.5,7.7,3.6,4.8,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,0.484,0.5820000000000001,0.329,0.5479999999999999,0.75,0.5770000000000001,0
Evan Turner,2015-16,27,BOS,NBA,81,2271,12,7.4,16.2,6.9,14.4,0.4,1.8,3.2,3.8,1.1,7.4,8.5,7.7,1.7,0.6,3.6,3.0,18.3,0.456,0.482,0.241,0.469,0.8270000000000001,0.513,0
Robin Lopez,2016-17,28,CHI,NBA,81,2271,81,8.5,17.2,8.5,17.1,0.0,0.0,1.7,2.3,5.4,6.1,11.5,1.8,0.4,2.6,2.0,3.3,18.6,0.493,0.494,0.0,0.493,0.721,0.511,0
Matt Barnes,2014-15,34,LAC,NBA,76,2271,74,6.2,13.9,3.1,5.5,3.0,8.4,1.7,2.1,1.1,5.6,6.7,2.5,1.5,1.1,1.9,5.4,17.1,0.444,0.569,0.362,0.5529999999999999,0.779,0.574,0
Tristan Thompson,2015-16,24,CLE,NBA,82,2269,34,5.6,9.5,5.6,9.5,0.0,0.0,3.4,5.5,6.1,10.7,16.7,1.4,0.9,1.2,1.4,4.6,14.6,0.588,0.588,,0.588,0.616,0.611,0
Roy Hibbert,2012-13,26,IND,NBA,79,2269,79,9.0,20.2,9.0,20.1,0.0,0.1,3.9,5.3,6.9,8.4,15.4,2.7,0.9,4.8,3.8,6.5,22.0,0.448,0.449,0.25,0.449,0.741,0.489,0
D.J. Augustin,2018-19,31,ORL,NBA,81,2269,81,6.9,14.6,4.0,7.9,2.8,6.7,3.9,4.5,0.9,3.5,4.4,9.2,1.1,0.1,2.8,2.5,20.4,0.47,0.511,0.421,0.5660000000000001,0.866,0.616,0
Trevor Ariza,2017-18,32,HOU,NBA,67,2269,67,5.8,14.1,2.1,4.1,3.7,10.0,1.6,1.9,0.7,5.7,6.4,2.3,2.1,0.3,1.1,2.9,17.0,0.412,0.519,0.368,0.542,0.8540000000000001,0.5670000000000001,0
Reggie Jackson,2014-15,24,TOT,NBA,77,2268,40,9.7,22.3,8.1,16.9,1.6,5.4,4.0,4.9,1.3,6.1,7.3,10.3,1.4,0.2,4.2,3.7,25.0,0.434,0.477,0.299,0.47,0.83,0.511,0
Brandon Bass,2013-14,28,BOS,NBA,82,2266,73,8.0,16.5,7.9,16.3,0.0,0.1,4.7,5.4,3.7,7.0,10.7,2.0,0.8,1.6,2.3,4.3,20.7,0.486,0.487,0.333,0.487,0.858,0.5489999999999999,0
Justin Holiday,2017-18,28,CHI,NBA,72,2265,72,6.3,16.9,2.8,7.2,3.5,9.7,2.9,3.5,0.7,5.6,6.3,3.3,1.7,0.7,2.0,2.9,18.9,0.371,0.387,0.359,0.474,0.823,0.513,0
Trey Burke,2013-14,21,UTA,NBA,70,2262,68,7.9,20.8,5.3,13.0,2.6,7.8,2.4,2.6,0.9,4.0,4.8,9.2,1.0,0.1,3.0,3.4,20.8,0.38,0.41,0.33,0.442,0.903,0.473,0
LaMarcus Aldridge,2015-16,30,SAS,NBA,74,2261,74,12.1,23.7,12.1,23.3,0.0,0.4,5.9,6.8,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,0.513,0.521,0.0,0.513,0.858,0.565,1
Evan Turner,2014-15,26,BOS,NBA,82,2260,57,7.1,16.5,6.4,13.9,0.7,2.6,2.3,3.1,0.9,8.4,9.2,9.9,1.8,0.4,4.4,4.0,17.3,0.429,0.458,0.277,0.451,0.752,0.482,0
Kyle Korver,2012-13,31,ATL,NBA,74,2259,60,6.4,13.8,2.0,4.3,4.3,9.5,1.5,1.8,0.5,6.2,6.7,3.3,1.6,0.8,1.6,3.9,18.6,0.461,0.471,0.457,0.618,0.8590000000000001,0.637,0
D'Angelo Russell,2015-16,19,LAL,NBA,80,2259,48,8.7,21.3,5.8,13.0,2.9,8.2,3.1,4.2,1.0,5.0,6.1,5.9,2.1,0.3,4.4,3.2,23.4,0.41,0.447,0.35100000000000003,0.478,0.737,0.507,0
Dwyane Wade,2015-16,34,MIA,NBA,74,2258,73,12.3,26.9,12.1,25.9,0.2,1.0,7.3,9.2,1.9,5.0,6.9,7.8,1.8,1.0,4.6,2.6,32.0,0.456,0.468,0.159,0.459,0.7929999999999999,0.517,0
Marcin Gortat,2015-16,31,WAS,NBA,75,2256,74,9.4,16.5,9.4,16.5,0.0,0.0,3.2,4.5,4.8,11.2,16.0,2.3,1.0,2.1,2.6,4.2,21.9,0.5670000000000001,0.5670000000000001,0.0,0.5670000000000001,0.705,0.5920000000000001,0
Jeff Teague,2015-16,27,ATL,NBA,79,2255,78,9.5,21.7,7.1,15.6,2.4,6.0,5.7,6.8,0.7,4.0,4.7,10.3,2.1,0.5,4.8,3.7,27.2,0.439,0.454,0.4,0.495,0.8370000000000001,0.551,0
Ricky Rubio,2017-18,27,UTA,NBA,77,2254,77,7.7,18.4,5.6,12.3,2.1,6.1,4.9,5.7,1.0,6.8,7.8,9.1,2.7,0.2,4.6,4.6,22.4,0.418,0.451,0.35200000000000004,0.476,0.866,0.537,0
Allen Crabbe,2016-17,24,POR,NBA,79,2254,7,6.7,14.3,3.7,7.6,3.0,6.7,2.3,2.7,0.4,4.6,5.0,2.1,1.2,0.4,1.4,3.8,18.6,0.468,0.49,0.444,0.5720000000000001,0.847,0.602,0
Jeff Green,2015-16,29,TOT,NBA,80,2253,41,8.0,18.7,6.5,13.8,1.5,4.8,3.7,5.0,1.7,5.8,7.5,3.1,1.3,0.9,2.1,3.7,21.3,0.43,0.47,0.315,0.47,0.745,0.51,0
Brook Lopez,2012-13,24,BRK,NBA,74,2253,74,13.7,26.3,13.7,26.2,0.0,0.0,7.1,9.4,5.0,7.3,12.3,1.7,0.8,3.7,3.1,3.6,34.5,0.521,0.522,0.0,0.521,0.758,0.5670000000000001,0
Jarrett Jack,2013-14,30,CLE,NBA,80,2252,31,6.5,16.0,5.1,11.7,1.4,4.2,2.9,3.4,0.5,4.6,5.1,7.4,1.3,0.5,3.0,3.0,17.4,0.41,0.435,0.341,0.455,0.8390000000000001,0.498,0
Jeff Green,2012-13,26,BOS,NBA,81,2252,17,8.7,18.7,7.1,14.5,1.6,4.2,5.0,6.2,1.3,6.1,7.4,3.0,1.3,1.6,3.1,4.1,24.1,0.467,0.49,0.385,0.51,0.8079999999999999,0.561,0
Jeremy Lamb,2018-19,26,CHO,NBA,79,2250,55,9.3,21.2,6.8,14.0,2.5,7.1,5.0,5.6,1.4,8.0,9.4,3.7,1.9,0.7,1.7,3.0,26.1,0.44,0.487,0.348,0.499,0.888,0.552,0
Randy Foye,2012-13,29,UTA,NBA,82,2249,72,6.9,17.3,2.7,7.1,4.2,10.2,2.8,3.4,0.4,2.6,3.0,3.9,1.5,0.6,2.2,4.5,20.7,0.397,0.378,0.41,0.518,0.8190000000000001,0.55,0
Clint Capela,2018-19,24,HOU,NBA,67,2249,67,10.3,16.0,10.3,16.0,0.0,0.0,3.6,5.7,6.5,12.0,18.5,2.1,1.0,2.2,2.1,3.7,24.3,0.648,0.648,,0.648,0.636,0.6579999999999999,0
Kenneth Faried,2012-13,23,DEN,NBA,80,2248,80,8.5,15.5,8.5,15.5,0.0,0.0,3.7,6.0,5.8,10.6,16.5,1.7,1.8,1.9,2.5,5.3,20.7,0.552,0.552,,0.552,0.613,0.573,0
DeMarcus Cousins,2015-16,25,SAC,NBA,65,2246,65,12.9,28.5,11.4,24.0,1.5,4.5,10.2,14.2,3.4,12.6,16.0,4.6,2.2,2.0,5.3,5.0,37.4,0.451,0.473,0.33299999999999996,0.47700000000000004,0.718,0.5379999999999999,1
Wesley Johnson,2014-15,27,LAL,NBA,76,2245,59,6.5,15.7,4.4,9.8,2.1,5.9,2.0,2.5,1.5,5.7,7.3,2.8,1.3,1.0,2.0,3.7,17.1,0.414,0.451,0.35100000000000003,0.48,0.804,0.509,0
J.R. Smith,2017-18,32,CLE,NBA,80,2244,61,5.2,13.0,2.1,4.7,3.1,8.3,0.9,1.2,0.6,4.5,5.1,3.1,1.5,0.2,1.8,3.5,14.5,0.403,0.453,0.375,0.524,0.696,0.534,0
Kyle Lowry,2016-17,30,TOR,NBA,60,2244,60,9.6,20.7,5.3,10.2,4.4,10.6,6.8,8.2,1.1,5.4,6.5,9.4,2.0,0.4,3.9,3.8,30.4,0.464,0.518,0.412,0.569,0.8190000000000001,0.623,0
