Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All NBA
Damian Lillard\lillada01,2013-14,23,POR,NBA,82,2937,82,18.6,0.425,0.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,116,110,7.8,1.8,9.6,0.157,3.8,-0.6,3.2,3.9,1
Klay Thompson\thompkl01,2012-13,22,GSW,NBA,82,2936,82,12.7,0.43700000000000006,0.13,1.2,10.0,5.7,10.1,1.5,1.2,11.0,21.8,102,107,1.7,2.6,4.3,0.07,-0.1,-0.2,-0.3,1.3,0
Trevor Ariza\arizatr01,2014-15,29,HOU,NBA,82,2930,82,12.7,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,107,103,2.7,3.9,6.6,0.10800000000000001,-0.1,1.1,1.0,2.2,0
Jrue Holiday\holidjr01,2017-18,27,NOP,NBA,81,2927,81,17.8,0.28600000000000003,0.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,110,109,4.2,2.9,7.1,0.11599999999999999,1.3,0.3,1.6,2.7,0
Jrue Holiday\holidjr01,2012-13,22,PHI,NBA,78,2926,78,16.7,0.192,0.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,99,107,0.6,2.7,3.3,0.055,1.2,-0.7,0.5,1.9,0
Damian Lillard\lillada01,2014-15,24,POR,NBA,82,2925,82,20.7,0.42100000000000004,0.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,112,105,7.3,3.3,10.6,0.174,4.3,0.3,4.7,4.9,0
CJ McCollum\mccolcj01,2017-18,26,POR,NBA,81,2923,81,17.0,0.316,0.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,108,109,3.7,2.9,6.6,0.10800000000000001,1.8,-0.5,1.2,2.4,0
Karl-Anthony Towns\townska01,2017-18,22,MIN,NBA,82,2918,82,24.9,0.243,0.34299999999999997,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,127,107,10.6,3.4,14.0,0.23,4.9,0.2,5.1,5.2,1
Russell Westbrook\westbru01,2017-18,29,OKC,NBA,80,2914,80,24.7,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,109,104,5.5,4.5,10.1,0.166,4.8,1.5,6.3,6.1,1
O.J. Mayo\mayooj01,2012-13,25,DAL,NBA,82,2913,82,13.9,0.34,0.22699999999999998,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,104,109,2.3,1.8,4.2,0.069,0.1,-0.6,-0.5,1.1,0
David Lee\leeda02,2012-13,29,GSW,NBA,79,2907,79,19.2,0.003,0.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,110,104,5.4,3.7,9.1,0.15,1.4,0.4,1.8,2.8,1
Luol Deng\denglu01,2012-13,27,CHI,NBA,75,2903,75,15.1,0.213,0.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,105,105,3.0,3.3,6.3,0.105,1.0,-0.3,0.8,2.0,0
LeBron James\jamesle01,2013-14,29,MIA,NBA,77,2902,77,29.3,0.226,0.43200000000000005,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,121,105,12.3,3.7,15.9,0.264,7.8,1.1,8.8,7.9,1
Paul George\georgpa01,2013-14,23,IND,NBA,80,2898,80,20.1,0.36700000000000005,0.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107,97,4.4,6.4,10.8,0.17800000000000002,2.7,2.1,4.9,5.0,1
Brandon Jennings\jennibr01,2012-13,23,MIL,NBA,80,2897,80,16.1,0.37,0.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,106,108,3.6,2.2,5.8,0.096,1.7,-0.6,1.1,2.2,0
Gordon Hayward\haywago01,2015-16,25,UTA,NBA,80,2893,80,18.3,0.341,0.397,2.5,13.5,8.0,18.2,1.7,0.8,12.5,25.7,110,105,5.5,3.4,8.9,0.147,2.4,0.2,2.6,3.3,0
Evan Turner\turneev01,2012-13,24,PHI,NBA,82,2892,82,12.1,0.151,0.198,2.1,18.5,10.1,19.7,1.3,0.5,14.0,21.2,95,106,-0.7,2.9,2.1,0.035,-2.2,-0.2,-2.3,-0.3,0
Paul George\georgpa01,2017-18,27,OKC,NBA,79,2891,79,18.7,0.45399999999999996,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,112,106,5.0,3.9,8.9,0.147,2.3,0.6,2.9,3.6,1
Kemba Walker\walkeke02,2015-16,25,CHO,NBA,81,2885,81,20.8,0.368,0.32899999999999996,2.1,11.5,6.8,25.7,2.2,1.1,10.1,26.5,112,105,6.3,3.6,9.9,0.165,3.5,0.5,4.0,4.3,0
LeBron James\jamesle01,2012-13,28,MIA,NBA,76,2877,76,31.6,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,125,101,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,1
DeAndre Jordan\jordade01,2013-14,25,LAC,NBA,82,2870,82,18.2,0.0,0.726,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,121,98,5.3,5.8,11.1,0.18600000000000003,0.9,1.6,2.5,3.3,0
Klay Thompson\thompkl01,2013-14,23,GSW,NBA,81,2868,81,14.3,0.425,0.147,1.5,7.9,4.7,10.2,1.3,1.0,9.2,22.6,108,106,3.5,3.2,6.7,0.11199999999999999,0.9,-0.1,0.8,2.0,0
James Harden\hardeja01,2018-19,29,HOU,NBA,78,2867,78,30.6,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,15.2,0.254,9.4,1.6,11.0,9.3,1
Kemba Walker\walkeke02,2018-19,28,CHO,NBA,82,2863,82,21.7,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1.0,10.1,31.5,112,114,5.5,1.9,7.4,0.12300000000000001,5.2,-1.0,4.2,4.4,1
Blake Griffin\griffbl01,2013-14,24,LAC,NBA,80,2863,80,23.9,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29.0,114,103,8.1,4.1,12.2,0.205,3.8,0.7,4.5,4.7,1
