Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All NBA
Ty Lawson\lawsoty01,2013-14,26,DEN,NBA,62,2222,61,19.0,0.251,0.504,1.9,8.5,5.2,38.2,2.2,0.3,16.9,22.7,113,110,4.8,1.5,6.3,0.136,2.9,-0.5,2.3,2.5,0
Gorgui Dieng\dienggo01,2015-16,26,MIN,NBA,82,2220,39,17.1,0.035,0.428,8.3,22.1,15.3,10.1,2.1,3.5,16.9,16.7,113,106,3.4,2.5,5.9,0.127,-0.1,0.8,0.8,1.5,0
Robin Lopez\lopezro01,2015-16,27,NYK,NBA,82,2219,82,17.6,0.002,0.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,113,107,3.7,2.1,5.8,0.126,0.4,-0.5,-0.2,1.0,0
Darren Collison\collida01,2015-16,28,SAC,NBA,74,2219,15,15.9,0.28,0.29100000000000004,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,115,112,4.5,0.7,5.2,0.113,0.9,-0.8,0.1,1.2,0
Danny Green\greenda02,2018-19,31,TOR,NBA,80,2216,80,13.0,0.69,0.07,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,119,108,3.0,2.9,5.9,0.128,1.1,0.8,2.0,2.2,0
Ramon Sessions\sessira01,2013-14,27,TOT,NBA,83,2214,19,16.0,0.161,0.525,1.9,8.6,5.2,25.7,1.2,0.3,13.5,22.7,108,111,3.1,1.2,4.3,0.094,0.7,-1.5,-0.8,0.7,0
Jordan Clarkson\clarkjo01,2018-19,26,CLE,NBA,81,2214,0,16.8,0.377,0.163,3.9,9.9,6.8,15.6,1.3,0.5,9.6,27.6,107,119,1.9,-0.1,1.8,0.039,2.1,-2.6,-0.5,0.8,0
Amir Johnson\johnsam01,2013-14,26,TOR,NBA,77,2214,72,15.4,0.10800000000000001,0.23399999999999999,9.0,17.6,13.3,8.7,1.3,3.2,15.4,16.4,112,104,3.2,3.1,6.3,0.136,-0.4,1.1,0.7,1.5,0
Kyrie Irving\irvinky01,2018-19,26,BOS,NBA,67,2214,67,24.3,0.35,0.19699999999999998,3.4,12.7,8.1,35.0,2.2,1.4,11.3,29.6,118,108,6.2,2.9,9.1,0.19699999999999998,6.0,1.1,7.2,5.1,1
Willie Cauley-Stein\caulewi01,2018-19,25,SAC,NBA,81,2213,81,18.0,0.003,0.34299999999999997,8.2,23.7,15.8,12.3,2.0,2.0,9.0,17.5,118,108,3.8,2.9,6.7,0.146,0.2,1.1,1.2,1.8,0
Kyle Lowry\lowryky01,2018-19,32,TOR,NBA,65,2213,65,16.5,0.613,0.263,2.1,12.9,7.6,34.8,2.0,1.2,18.1,19.6,115,108,3.6,3.0,6.6,0.14400000000000002,1.7,0.6,2.3,2.4,0
Richard Jefferson\jefferi01,2013-14,33,UTA,NBA,82,2213,78,11.8,0.46,0.248,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,109,114,2.3,0.4,2.7,0.057999999999999996,-0.6,-0.9,-1.4,0.3,0
Luol Deng\denglu01,2013-14,28,TOT,NBA,63,2213,63,15.2,0.22,0.312,5.0,13.4,9.2,14.6,1.5,0.3,10.4,22.3,106,107,2.2,2.3,4.5,0.098,0.6,-0.1,0.4,1.4,0
Cory Joseph\josepco01,2017-18,26,IND,NBA,82,2210,17,11.0,0.315,0.156,2.0,11.4,6.7,16.1,1.8,0.7,11.9,14.8,106,110,1.2,2.0,3.1,0.068,-1.8,0.3,-1.5,0.3,0
Dion Waiters\waitedi01,2014-15,23,TOT,NBA,80,2208,23,10.9,0.26,0.182,2.1,7.4,4.8,11.9,2.1,0.8,10.0,22.5,95,108,-0.6,1.7,1.1,0.025,-2.5,-0.8,-3.3,-0.7,0
Harrison Barnes\barneha02,2013-14,21,GSW,NBA,78,2204,24,9.8,0.28,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,100,105,0.4,2.8,3.2,0.07,-2.2,0.5,-1.6,0.2,0
Danny Green\greenda02,2012-13,25,SAS,NBA,80,2201,80,14.1,0.623,0.11900000000000001,2.0,10.3,6.4,9.5,2.1,1.8,11.9,16.6,110,102,2.6,3.2,5.9,0.128,1.4,1.4,2.8,2.7,0
Derrick Favors\favorde01,2013-14,22,UTA,NBA,73,2201,73,19.0,0.001,0.38,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,108,107,2.9,2.3,5.1,0.11199999999999999,0.0,0.1,0.1,1.2,0
Marcus Smart\smartma01,2018-19,24,BOS,NBA,80,2200,60,13.1,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,113,107,2.2,3.1,5.3,0.11599999999999999,-1.2,2.0,0.8,1.5,0
Martell Webster\webstma02,2012-13,26,WAS,NBA,76,2200,62,13.9,0.517,0.311,2.7,12.2,7.4,10.7,1.2,0.6,11.1,16.9,115,106,3.9,2.4,6.3,0.138,0.5,0.3,0.8,1.6,0
Dwight Howard\howardw01,2016-17,31,ATL,NBA,74,2199,74,20.8,0.003,0.6920000000000001,15.0,31.7,23.5,7.8,1.4,3.6,17.5,19.2,115,100,3.8,4.5,8.3,0.18100000000000002,0.6,0.8,1.4,1.9,0
J.J. Redick\redicjj01,2016-17,32,LAC,NBA,78,2198,78,14.8,0.526,0.22699999999999998,0.6,7.9,4.4,7.8,1.2,0.5,9.1,22.0,113,112,3.3,1.5,4.8,0.105,1.6,-1.2,0.4,1.4,0
Wilson Chandler\chandwi01,2016-17,29,DEN,NBA,71,2197,33,14.9,0.34700000000000003,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10.0,22.0,109,113,2.4,1.1,3.5,0.077,0.5,-1.5,-1.0,0.5,0
Allen Crabbe\crabbal01,2017-18,25,BRK,NBA,75,2197,68,12.3,0.643,0.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,108,112,1.8,1.4,3.2,0.07,0.0,-0.7,-0.7,0.7,0
Tristan Thompson\thomptr01,2014-15,23,CLE,NBA,82,2194,15,15.6,0.0,0.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14.0,121,106,4.7,2.1,6.8,0.14800000000000002,0.1,-1.4,-1.2,0.4,0
Al Horford\horfoal01,2016-17,30,BOS,NBA,68,2193,68,17.7,0.302,0.16899999999999998,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,114,107,3.6,2.7,6.3,0.138,2.3,1.1,3.4,3.0,0
Gorgui Dieng\dienggo01,2014-15,25,MIN,NBA,73,2193,49,17.2,0.012,0.47700000000000004,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15.0,113,108,3.4,1.5,4.9,0.10800000000000001,-0.1,0.3,0.2,1.2,0
Alec Burks\burksal01,2013-14,22,UTA,NBA,78,2193,12,15.8,0.172,0.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,106,113,2.6,0.6,3.2,0.07,0.2,-1.0,-0.8,0.7,0
Raymond Felton\feltora01,2015-16,31,DAL,NBA,80,2192,31,11.9,0.312,0.258,1.8,11.1,6.5,20.3,1.6,0.6,13.7,18.4,102,108,1.0,1.7,2.7,0.059000000000000004,-1.7,0.1,-1.6,0.2,0
Jrue Holiday\holidjr01,2016-17,26,NOP,NBA,67,2190,61,17.1,0.315,0.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,104,108,1.3,2.6,3.8,0.084,1.0,0.2,1.3,1.8,0
Matt Barnes\barnema02,2015-16,35,MEM,NBA,76,2190,45,11.7,0.534,0.19899999999999998,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,99,107,0.4,2.2,2.6,0.055999999999999994,-1.1,0.2,-0.9,0.6,0
Julius Randle\randlju01,2017-18,23,LAL,NBA,82,2190,49,19.9,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,112,107,4.0,2.6,6.6,0.145,0.6,0.0,0.6,1.4,0
DeMarre Carroll\carrode01,2014-15,28,ATL,NBA,70,2189,69,15.9,0.466,0.27699999999999997,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117,104,4.3,2.8,7.0,0.154,1.2,0.4,1.7,2.0,0
Nik Stauskas\stausni01,2016-17,23,PHI,NBA,80,2188,27,9.0,0.5660000000000001,0.237,1.1,10.3,5.7,12.9,1.0,1.2,15.5,16.4,100,112,0.1,1.4,1.4,0.031,-2.1,-0.8,-2.8,-0.5,0
Ben McLemore\mclembe01,2013-14,20,SAC,NBA,82,2187,55,7.7,0.43700000000000006,0.21100000000000002,2.7,9.5,6.1,5.8,1.0,0.7,11.5,16.9,97,112,-0.1,0.9,0.8,0.016,-2.9,-1.1,-4.0,-1.1,0
Bismack Biyombo\biyombi01,2012-13,20,CHA,NBA,80,2186,65,10.1,0.0,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,98,109,0.1,1.3,1.4,0.031,-3.6,-0.8,-4.4,-1.3,0
Chandler Parsons\parsoch01,2014-15,26,DAL,NBA,66,2186,66,16.3,0.419,0.233,3.2,13.0,8.1,11.4,1.6,0.7,9.5,20.6,112,108,3.8,1.7,5.5,0.121,2.0,-0.4,1.6,2.0,0
Jimmy Butler\butleji01,2018-19,29,TOT,NBA,65,2185,65,20.2,0.213,0.40399999999999997,6.0,10.5,8.3,18.0,2.7,1.4,8.2,22.3,121,110,5.4,2.5,7.9,0.17300000000000001,2.8,0.9,3.7,3.2,0
Luis Scola\scolalu01,2012-13,32,PHO,NBA,82,2184,67,16.7,0.017,0.251,8.1,20.4,14.1,14.5,1.6,1.2,11.0,23.3,105,107,2.4,1.9,4.4,0.096,-0.3,-0.2,-0.5,0.8,0
Deandre Ayton\aytonde01,2018-19,20,PHO,NBA,71,2183,70,20.5,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,117,113,4.1,1.7,5.8,0.128,1.3,-1.1,0.2,1.2,0
DeMarre Carroll\carrode01,2017-18,31,BRK,NBA,73,2180,73,14.3,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1.0,10.3,19.8,109,110,2.3,1.8,4.1,0.091,0.5,-0.4,0.2,1.2,0
Jameer Nelson\nelsoja01,2013-14,31,ORL,NBA,68,2179,68,13.9,0.523,0.15,1.5,10.5,6.0,35.1,1.2,0.2,17.3,20.1,104,111,1.6,1.2,2.8,0.062,0.6,-1.7,-1.1,0.5,0
Mario Chalmers\chalmma01,2013-14,27,MIA,NBA,73,2178,73,14.0,0.40399999999999997,0.29100000000000004,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,108,106,2.4,2.5,4.8,0.106,-0.3,0.5,0.2,1.2,0
Kenneth Faried\farieke01,2013-14,24,DEN,NBA,80,2178,77,19.8,0.004,0.379,11.8,22.2,16.9,7.5,1.6,2.3,12.4,21.3,113,106,4.0,2.5,6.5,0.14400000000000002,1.2,-0.3,1.0,1.6,0
Tyler Johnson\johnsty01,2016-17,24,MIA,NBA,73,2178,0,15.9,0.303,0.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,112,107,3.1,2.7,5.8,0.128,0.4,1.0,1.4,1.8,0
Kevin Martin\martike02,2013-14,30,MIN,NBA,68,2177,68,16.3,0.29,0.332,1.7,8.7,5.1,9.2,1.5,0.2,8.3,25.0,110,109,3.8,1.5,5.3,0.11699999999999999,1.1,-0.8,0.3,1.3,0
Eric Bledsoe\bledser01,2016-17,27,PHO,NBA,66,2176,66,20.5,0.3,0.44299999999999995,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,111,112,4.0,1.4,5.3,0.11800000000000001,3.7,-0.1,3.6,3.1,0
Bogdan Bogdanović\bogdabo01,2017-18,25,SAC,NBA,78,2175,53,13.5,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,107,113,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3,0
Shai Gilgeous-Alexander\gilgesh01,2018-19,20,LAC,NBA,82,2174,73,13.4,0.19399999999999998,0.272,2.9,8.3,5.7,17.8,2.1,1.6,15.0,18.3,108,112,1.5,1.9,3.3,0.07400000000000001,-0.9,0.4,-0.5,0.8,0
Tony Parker\parketo01,2012-13,30,SAS,NBA,66,2174,66,23.0,0.068,0.332,1.0,9.1,5.3,40.4,1.3,0.2,13.0,27.7,116,106,7.1,2.3,9.3,0.20600000000000002,4.1,-0.5,3.6,3.1,1
Zach LaVine\lavinza01,2018-19,23,CHI,NBA,63,2171,62,18.7,0.28300000000000003,0.33,2.0,12.9,7.4,22.6,1.3,1.0,14.2,30.5,106,115,1.7,1.1,2.8,0.062,2.4,-1.6,0.8,1.5,0
Rodney Stuckey\stuckro01,2012-13,26,DET,NBA,76,2171,24,13.0,0.243,0.364,2.2,9.1,5.6,20.3,1.2,0.6,13.4,21.0,103,111,1.7,0.8,2.5,0.055,-0.6,-1.3,-1.8,0.1,0
Chris Paul\paulch01,2013-14,28,LAC,NBA,62,2171,62,25.9,0.244,0.397,2.0,11.4,6.9,48.9,3.5,0.1,12.4,23.7,125,103,9.0,3.2,12.2,0.27,6.0,2.6,8.6,5.8,1
Jared Dudley\dudleja01,2012-13,27,PHO,NBA,79,2170,50,14.9,0.405,0.242,4.1,8.9,6.4,14.9,1.8,0.3,12.0,17.2,114,111,3.9,0.9,4.8,0.106,1.0,-0.4,0.6,1.5,0
Jae Crowder\crowdja01,2018-19,28,UTA,NBA,80,2166,11,12.1,0.655,0.247,3.1,15.9,9.6,8.9,1.4,1.1,8.8,19.1,107,107,1.3,3.1,4.4,0.09699999999999999,-0.3,0.6,0.3,1.2,0
Jimmy Butler\butleji01,2017-18,28,MIN,NBA,59,2164,59,23.7,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,122,110,7.1,1.8,8.9,0.198,5.0,0.7,5.8,4.2,1
Tomáš Satoranský\satorto01,2018-19,27,WAS,NBA,80,2164,54,14.1,0.306,0.302,4.0,10.0,7.0,24.6,1.8,0.5,16.7,14.1,121,116,3.8,0.9,4.7,0.10400000000000001,-0.4,-0.3,-0.7,0.7,0
Kristaps Porziņģis\porzikr01,2016-17,21,NYK,NBA,66,2164,65,17.4,0.319,0.256,5.5,18.2,11.8,7.3,1.1,4.9,9.7,24.3,108,109,2.4,2.1,4.5,0.1,0.7,-0.3,0.3,1.3,0
Anthony Davis\davisan02,2015-16,22,NOP,NBA,61,2164,61,25.0,0.095,0.379,6.4,26.4,16.1,10.0,1.8,4.7,8.4,29.6,110,104,4.4,2.8,7.2,0.16,3.6,0.4,3.9,3.2,0
Tyson Chandler\chandty01,2012-13,30,NYK,NBA,66,2164,66,18.9,0.0,0.645,14.1,24.3,19.0,4.5,1.0,3.0,14.5,13.0,133,104,6.7,2.6,9.3,0.207,1.5,-0.3,1.3,1.8,0
Nikola Vučević\vucevni01,2016-17,26,ORL,NBA,75,2163,55,19.1,0.073,0.155,8.6,31.3,19.6,16.9,1.7,2.8,9.6,24.8,103,105,0.8,3.1,4.0,0.08800000000000001,0.8,0.6,1.4,1.9,0
José Calderón\caldejo01,2012-13,31,TOT,NBA,73,2160,58,18.8,0.444,0.126,1.1,8.6,4.8,39.8,1.4,0.3,15.8,17.0,124,111,6.6,0.9,7.4,0.165,4.3,-1.2,3.1,2.8,0
Terrence Ross\rosste01,2013-14,22,TOR,NBA,81,2159,62,12.0,0.5429999999999999,0.13,2.3,11.3,6.8,6.1,1.5,1.0,10.0,18.6,107,107,2.0,2.2,4.2,0.094,0.0,-0.2,-0.2,1.0,0
Tim Duncan\duncati01,2013-14,37,SAS,NBA,74,2158,74,21.3,0.006,0.349,8.6,28.3,18.8,16.0,1.0,4.6,13.2,25.2,106,98,2.8,4.6,7.4,0.16399999999999998,1.2,2.1,3.3,2.9,0
Rudy Gobert\goberru01,2014-15,22,UTA,NBA,82,2158,37,21.6,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7.0,16.9,14.0,122,98,5.0,4.3,9.3,0.20600000000000002,1.7,2.5,4.2,3.4,0
Eric Gordon\gordoer01,2018-19,30,HOU,NBA,68,2158,53,12.2,0.64,0.162,0.9,6.9,3.8,9.4,0.9,1.1,8.2,22.0,108,115,1.7,1.0,2.6,0.059000000000000004,0.5,-1.8,-1.3,0.4,0
Montrezl Harrell\harremo01,2018-19,25,LAC,NBA,82,2158,5,23.4,0.019,0.466,9.3,16.7,13.1,12.5,1.6,4.0,11.0,23.5,122,109,6.1,2.6,8.7,0.193,2.6,0.7,3.3,2.9,0
Kevin Knox\knoxke01,2018-19,19,NYK,NBA,75,2158,57,8.7,0.39799999999999996,0.247,2.9,13.6,8.1,6.0,1.0,0.9,10.1,22.3,93,116,-2.2,0.9,-1.3,-0.03,-3.4,-2.3,-5.7,-2.0,0
Jamal Crawford\crawfja01,2016-17,36,LAC,NBA,82,2157,1,12.0,0.37,0.233,0.9,5.7,3.3,15.2,1.4,0.5,12.3,22.7,102,112,0.5,1.4,1.9,0.043,-0.8,-1.3,-2.1,0.0,0
Martell Webster\webstma02,2013-14,27,WAS,NBA,78,2157,13,11.5,0.634,0.213,2.0,10.1,6.0,6.7,1.0,0.6,8.3,14.7,116,108,3.3,1.7,5.0,0.11199999999999999,-0.1,-0.3,-0.4,0.9,0
Patrick Patterson\pattepa01,2014-15,25,TOR,NBA,81,2156,4,14.6,0.529,0.15,6.8,16.3,11.6,10.7,1.4,1.6,8.7,13.1,122,108,4.4,1.7,6.1,0.13699999999999998,2.3,0.2,2.5,2.4,0
Joel Embiid\embiijo01,2018-19,24,PHI,NBA,64,2154,64,26.1,0.21899999999999997,0.541,8.1,34.0,21.4,18.4,1.0,4.4,13.2,33.3,114,104,4.9,3.8,8.7,0.19399999999999998,4.0,0.9,4.9,3.8,1
Eric Gordon\gordoer01,2017-18,29,HOU,NBA,69,2154,30,15.2,0.627,0.248,1.3,7.5,4.4,11.7,1.0,1.1,10.8,24.7,110,110,2.9,1.8,4.7,0.105,2.0,-1.6,0.4,1.3,0
Tim Hardaway\hardati02,2016-17,24,ATL,NBA,79,2154,30,15.2,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,110,109,2.7,2.1,4.8,0.107,1.0,-0.4,0.5,1.4,0
Hollis Thompson\thompho01,2015-16,24,PHI,NBA,77,2154,17,9.2,0.5760000000000001,0.141,2.6,11.4,6.9,7.4,0.8,0.8,9.5,16.2,101,113,0.7,0.5,1.2,0.026000000000000002,-1.6,-1.7,-3.4,-0.7,0
Derrick Favors\favorde01,2017-18,26,UTA,NBA,77,2153,77,18.8,0.09,0.306,10.6,18.5,14.6,7.8,1.3,3.2,9.9,18.5,119,104,4.5,3.5,8.0,0.179,0.9,0.7,1.5,1.9,0
Markieff Morris\morrima02,2013-14,24,PHO,NBA,81,2153,0,18.4,0.128,0.387,7.3,18.0,12.6,10.9,1.6,1.8,12.9,23.2,111,106,4.0,2.4,6.4,0.14300000000000002,0.8,0.2,1.0,1.6,0
Dion Waiters\waitedi01,2015-16,24,OKC,NBA,78,2152,15,9.4,0.34,0.222,1.9,8.0,5.1,10.0,1.9,0.5,13.4,17.7,99,108,0.3,1.8,2.1,0.046,-2.4,-0.4,-2.8,-0.4,0
Jaylen Brown\brownja02,2017-18,21,BOS,NBA,70,2152,70,13.6,0.381,0.29,3.4,14.0,8.8,8.5,1.6,1.0,12.0,21.4,105,105,1.2,3.2,4.5,0.1,-0.8,0.3,-0.5,0.8,0
Andre Miller\millean02,2012-13,36,DEN,NBA,82,2151,11,15.7,0.10099999999999999,0.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,112,109,3.9,1.5,5.4,0.12,1.1,-0.2,0.9,1.6,0
Terrence Ross\rosste01,2018-19,27,ORL,NBA,81,2150,0,15.4,0.551,0.14,1.3,12.8,7.0,9.9,1.6,1.1,7.6,23.9,108,109,1.7,2.6,4.3,0.095,1.1,-0.3,0.8,1.5,0
Michael Carter-Williams\cartemi01,2014-15,23,TOT,NBA,66,2149,63,14.1,0.166,0.317,3.2,15.3,9.0,37.3,2.6,1.1,19.5,26.7,91,103,-2.1,2.9,0.8,0.017,-1.3,0.3,-1.1,0.5,0
Mason Plumlee\plumlma01,2016-17,26,TOT,NBA,81,2148,64,18.1,0.01,0.48200000000000004,8.8,22.4,15.6,19.8,1.6,3.4,15.1,18.1,114,108,3.6,2.4,6.0,0.135,0.6,1.4,2.0,2.2,0
Elfrid Payton\paytoel01,2015-16,21,ORL,NBA,73,2145,69,13.9,0.126,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,100,108,0.5,1.7,2.2,0.05,-0.7,-0.6,-1.2,0.4,0
Darren Collison\collida01,2018-19,31,IND,NBA,76,2143,76,16.7,0.294,0.28800000000000003,1.9,9.9,6.0,29.9,2.5,0.4,14.4,17.7,118,108,3.9,2.9,6.8,0.153,0.8,1.0,1.8,2.1,0
Ersan İlyasova\ilyaser01,2016-17,29,TOT,NBA,82,2142,52,14.6,0.452,0.233,5.9,18.8,12.4,11.0,1.3,0.9,10.6,22.2,107,108,1.8,2.3,4.1,0.091,0.4,-0.3,0.1,1.1,0
T.J. Warren\warretj01,2017-18,24,PHO,NBA,65,2142,65,17.6,0.085,0.24,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,109,114,2.6,0.8,3.4,0.077,0.8,-1.6,-0.7,0.7,0
Carlos Boozer\boozeca01,2013-14,32,CHI,NBA,76,2141,76,14.4,0.002,0.19699999999999998,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,95,98,-0.9,4.3,3.4,0.076,-2.3,0.2,-2.1,-0.1,0
Enes Kanter\kanteen01,2013-14,21,UTA,NBA,80,2138,37,15.6,0.001,0.239,11.6,20.9,16.1,6.4,0.7,1.5,13.3,23.3,102,112,1.3,0.9,2.2,0.05,-1.2,-2.4,-3.6,-0.9,0
Greg Monroe\monrogr01,2014-15,24,DET,NBA,69,2137,57,21.2,0.0,0.39399999999999996,11.2,25.1,17.9,11.7,1.9,1.3,13.0,23.9,110,103,4.0,2.8,6.8,0.153,2.0,0.0,2.0,2.1,0
Patrick Beverley\beverpa01,2018-19,30,LAC,NBA,78,2137,49,11.8,0.591,0.258,3.9,15.0,9.6,18.4,1.5,1.6,13.8,12.2,119,111,2.8,2.0,4.8,0.10800000000000001,-0.3,1.2,0.9,1.5,0
Kevin Martin\martike02,2012-13,29,OKC,NBA,77,2136,0,16.0,0.47700000000000004,0.316,1.8,7.4,4.8,7.9,1.7,0.3,10.2,21.0,117,107,5.0,2.0,7.0,0.157,1.7,-0.7,1.0,1.6,0
Robin Lopez\lopezro01,2012-13,24,NOH,NBA,82,2136,82,18.9,0.0,0.28800000000000003,12.4,13.4,12.9,5.3,0.8,5.0,12.0,20.0,114,110,4.4,1.2,5.6,0.126,1.3,-0.7,0.6,1.4,0
Enes Kanter\kanteen01,2014-15,22,TOT,NBA,75,2135,74,20.3,0.048,0.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,111,106,4.3,2.1,6.4,0.145,1.6,-2.5,-0.9,0.6,0
Jimmy Butler\butleji01,2012-13,23,CHI,NBA,82,2134,20,15.2,0.205,0.455,7.2,10.4,8.8,8.6,2.0,1.1,9.2,14.6,121,104,4.4,2.6,7.0,0.158,1.0,1.0,2.0,2.1,0
Danilo Gallinari\gallida01,2016-17,28,DEN,NBA,63,2134,63,17.4,0.43200000000000005,0.516,2.0,14.7,8.4,9.1,0.9,0.5,8.2,20.0,126,115,6.2,0.7,6.8,0.154,2.8,-1.4,1.4,1.9,0
Marvin Williams\willima02,2018-19,32,CHO,NBA,75,2133,75,12.6,0.586,0.132,3.8,17.1,10.3,6.1,1.6,2.5,6.4,14.9,112,111,1.9,1.9,3.8,0.086,-0.4,0.2,-0.3,0.9,0
Gerald Henderson\hendege02,2012-13,25,CHA,NBA,68,2133,58,16.4,0.11699999999999999,0.366,2.9,10.8,6.7,15.6,1.7,1.3,9.8,23.5,107,113,2.9,0.3,3.3,0.073,0.3,-1.4,-1.1,0.5,0
T.J. McConnell\mccontj01,2016-17,24,PHI,NBA,81,2133,51,13.7,0.107,0.17600000000000002,2.0,11.0,6.5,37.5,3.1,0.4,22.4,14.4,107,108,1.4,2.4,3.8,0.084,-2.0,1.0,-1.0,0.5,0
Julius Randle\randlju01,2016-17,22,LAL,NBA,74,2132,73,16.3,0.08199999999999999,0.365,7.4,25.8,16.3,19.3,1.1,1.4,16.2,21.4,107,112,2.0,1.5,3.5,0.08,-0.6,-0.3,-0.9,0.6,0
Wesley Matthews\matthwe02,2017-18,31,DAL,NBA,63,2131,62,11.4,0.5770000000000001,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,105,111,1.0,1.6,2.6,0.059000000000000004,-1.0,0.1,-0.9,0.6,0
Dario Šarić\saricda01,2016-17,22,PHI,NBA,81,2129,36,12.8,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,96,109,-1.2,2.2,1.0,0.023,-1.3,-0.9,-2.3,-0.2,0
Jamal Crawford\crawfja01,2015-16,35,LAC,NBA,79,2126,5,14.0,0.366,0.289,1.0,6.3,3.7,14.0,1.2,0.4,9.6,24.9,104,109,1.8,1.5,3.3,0.076,0.1,-1.5,-1.4,0.3,0
Hassan Whiteside\whiteha01,2015-16,26,MIA,NBA,73,2125,43,25.7,0.0,0.48200000000000004,13.1,32.4,23.1,2.4,1.1,9.7,14.2,20.7,117,95,5.0,5.3,10.3,0.233,1.7,2.4,4.1,3.3,0
Jason Terry\terryja01,2012-13,35,BOS,NBA,79,2124,24,12.8,0.511,0.20199999999999999,1.1,7.6,4.4,14.9,1.6,0.4,12.6,18.0,107,107,2.1,1.9,4.0,0.091,0.0,-0.2,-0.2,1.0,0
Isaiah Thomas\thomais02,2012-13,23,SAC,NBA,79,2122,62,17.5,0.386,0.345,1.5,7.3,4.4,24.6,1.6,0.1,12.7,23.0,115,115,5.2,-0.1,5.0,0.114,2.5,-2.0,0.5,1.3,0
Robert Covington\covinro01,2016-17,26,PHI,NBA,67,2119,67,13.2,0.563,0.23800000000000002,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,100,105,0.0,3.2,3.1,0.071,-1.2,1.4,0.2,1.1,0
Myles Turner\turnemy01,2018-19,22,IND,NBA,74,2119,74,18.0,0.251,0.258,5.4,22.0,13.9,8.0,1.4,8.4,10.3,20.0,110,101,1.9,4.4,6.3,0.14400000000000002,0.0,2.4,2.5,2.4,0
Kemba Walker\walkeke02,2014-15,24,CHO,NBA,62,2119,58,17.6,0.285,0.28800000000000003,1.8,9.9,5.7,27.1,2.2,1.2,8.3,25.9,103,104,1.8,2.6,4.5,0.10099999999999999,1.7,0.6,2.3,2.3,0
Serge Ibaka\ibakase01,2014-15,25,OKC,NBA,64,2116,64,16.6,0.261,0.14,7.0,18.1,12.6,4.2,0.7,5.8,10.4,18.9,109,104,2.9,2.7,5.6,0.127,0.5,0.4,0.9,1.6,0
Ryan Anderson\anderry01,2016-17,28,HOU,NBA,72,2116,72,13.5,0.655,0.19399999999999998,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,119,113,4.0,1.1,5.2,0.11699999999999999,1.7,-2.0,-0.4,0.9,0
Kirk Hinrich\hinriki01,2013-14,33,CHI,NBA,73,2116,61,10.8,0.391,0.20199999999999999,1.7,8.5,5.2,22.6,2.0,1.0,15.1,17.3,100,102,0.4,3.3,3.8,0.085,-2.4,1.4,-1.0,0.6,0
